POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
280	4.772871e-12	2.185292e-06	6.715e+05	7.107e-18	1.000000
281	4.772871e-12	2.185292e-06	6.715e+05	7.107e-18	1.000000
282	4.765934e-12	2.183320e-06	6.715e+05	7.097e-18	1.000000
283	4.765934e-12	2.183320e-06	6.715e+05	7.097e-18	1.000000
284	4.765495e-12	2.185566e-06	6.715e+05	7.097e-18	1.000000
285	4.765495e-12	2.185566e-06	6.715e+05	7.097e-18	1.000000
286	4.764194e-12	2.184102e-06	6.715e+05	7.095e-18	1.000000
287	4.764194e-12	2.184102e-06	6.715e+05	7.095e-18	1.000000
288	4.763530e-12	2.183418e-06	6.715e+05	7.094e-18	1.000000
289	4.763530e-12	2.183418e-06	6.715e+05	7.094e-18	1.000000
290	4.760942e-12	2.181958e-06	6.715e+05	7.090e-18	1.000000
291	4.759255e-12	2.181936e-06	6.715e+05	7.087e-18	1.000000
292	4.759255e-12	2.181936e-06	6.715e+05	7.087e-18	1.000000
293	4.757879e-12	2.181356e-06	6.715e+05	7.085e-18	1.000000
294	4.757879e-12	2.181356e-06	6.715e+05	7.085e-18	1.000000
295	4.747763e-12	2.180586e-06	6.715e+05	7.070e-18	1.000000
296	4.747763e-12	2.180586e-06	6.715e+05	7.070e-18	1.000000
297	4.740342e-12	2.178042e-06	6.715e+05	7.059e-18	1.000000
298	4.740342e-12	2.178042e-06	6.715e+05	7.059e-18	1.000000
299	4.723727e-12	2.173850e-06	6.715e+05	7.034e-18	1.000000
300	4.723727e-12	2.173850e-06	6.715e+05	7.034e-18	1.000000
301	4.720081e-12	2.175756e-06	6.715e+05	7.029e-18	1.000000
302	4.720081e-12	2.175756e-06	6.715e+05	7.029e-18	1.000000
303	4.718606e-12	2.172292e-06	6.715e+05	7.027e-18	1.000000
304	4.718606e-12	2.172292e-06	6.715e+05	7.027e-18	1.000000
305	4.717957e-12	2.172648e-06	6.715e+05	7.026e-18	1.000000
306	4.717957e-12	2.172648e-06	6.715e+05	7.026e-18	1.000000
307	4.709868e-12	2.171839e-06	6.715e+05	7.014e-18	1.000000
308	4.709868e-12	2.171839e-06	6.715e+05	7.014e-18	1.000000
309	4.708503e-12	2.171206e-06	6.715e+05	7.012e-18	1.000000
310	4.708503e-12	2.171206e-06	6.715e+05	7.012e-18	1.000000
311	4.706109e-12	2.172254e-06	6.715e+05	7.008e-18	1.000000
312	4.706109e-12	2.172254e-06	6.715e+05	7.008e-18	1.000000
313	4.705955e-12	2.169339e-06	6.715e+05	7.008e-18	1.000000
314	4.705955e-12	2.169339e-06	6.715e+05	7.008e-18	1.000000
315	4.705337e-12	2.169179e-06	6.715e+05	7.007e-18	1.000000
316	4.690957e-12	2.168168e-06	6.715e+05	6.986e-18	1.000000
317	4.690957e-12	2.168168e-06	6.715e+05	6.986e-18	1.000000
318	4.684168e-12	2.167898e-06	6.715e+05	6.975e-18	1.000000
